MINE,VEIN,YEAR,index,TONNES,METAL,EQ,ZN,PB,CU,AG,FE,PV,ORDER,RE,RE_OLD,CUTOFF,MINED_A,BUFFER,TYPE,PHASE,CAT1,CAT2,CAT3,CAT4,Tonnes_Waterfall1,Tonnes_Waterfall2,Tonnes_Waterfall3,Tonnes_Waterfall4
Animon,vofe,21_22,5.0,53065.28069543749,734871.6855735461,13.848446214602419,10.07401857740595,1.0511037778409882,0.1669502928940031,3.5403811742884357,4.525633917840849,1.3081772186793694,2,1,1,0,in_situ,9999,DDDRE,After Drilling,1,,,,53065.28069543749,,,
Animon,vofe,21_22,5.0,506016.1789240628,8011878.524398706,15.833245769797882,11.092653373496754,1.359870165139257,0.21780447357426735,4.39989004714827,4.719901047859686,1.8226786519290261,2,1,1,0,all,100,DDDRE,After Drilling,1,,,,506016.1789240628,,,
Animon,vofe,21_22,5.0,53065.28069543749,734871.6855735461,13.848446214602419,10.07401857740595,1.0511037778409882,0.1669502928940031,3.5403811742884357,4.525633917840849,1.3081772186793694,2,1,1,0,in_situ,100,DDDRE,After Drilling,1,,,,53065.28069543749,,,
Animon,vofe,21_22,5.0,521351.28991904715,8652143.770595849,16.59561209091726,10.920070820720436,1.3541711526400335,0.21282110986479966,4.3213701175567705,0.0,0.0,2,1,1,0,all,9999,DDDRE,Before Drilling,1,,,,,,,
Animon,vofe,21_22,5.0,55046.94019837594,798770.3092760526,14.51071224662945,9.644273914766755,1.0540807275981694,0.1751278545743456,3.812357604264516,0.0,0.0,2,1,1,0,in_situ,9999,DDDRE,Before Drilling,1,,,,,,,
Animon,vofe,21_22,5.0,521351.28991904715,8652143.770595849,16.59561209091726,10.920070820720436,1.3541711526400335,0.21282110986479966,4.3213701175567705,0.0,0.0,2,1,1,0,all,100,DDDRE,Before Drilling,1,,,,,,,
Animon,vofe,21_22,5.0,55046.94019837594,798770.3092760526,14.51071224662945,9.644273914766755,1.0540807275981694,0.1751278545743456,3.812357604264516,0.0,0.0,2,1,1,0,in_situ,100,DDDRE,Before Drilling,1,,,,,,,
Animon,vofe,21_22,7.0,99157.64982121879,1112250.7674777796,11.216994044162679,7.3965534843061915,0.9445724419243943,0.156403919698869,3.7240357130968036,2.7402023099207677,1.146481297977787,2,2,1,0,all,9999,DRE,After Drilling,1,2,,,,99157.64982121879,,
Animon,vofe,21_22,7.0,53298.25373606246,621633.8755699615,11.663306618793664,8.094996869754615,0.8300773873810416,0.12254828464459495,3.539668083505038,3.66307889453811,1.0702271687824902,2,2,1,0,in_situ,9999,DRE,After Drilling,1,2,,,,53298.25373606246,,
Animon,vofe,21_22,7.0,99157.64982121879,1112250.7674777796,11.216994044162679,7.3965534843061915,0.9445724419243943,0.156403919698869,3.7240357130968036,2.7402023099207677,1.146481297977787,2,2,1,0,all,100,DRE,After Drilling,1,2,,,,99157.64982121879,,
Animon,vofe,21_22,7.0,53298.25373606246,621633.8755699615,11.663306618793664,8.094996869754615,0.8300773873810416,0.12254828464459495,3.539668083505038,3.66307889453811,1.0702271687824902,2,2,1,0,in_situ,100,DRE,After Drilling,1,2,,,,53298.25373606246,,
Animon,vofe,21_22,7.0,101714.28458535948,1232971.469940848,12.121910653622383,7.351604812413863,0.9802586287293655,0.15757141211639283,3.7900472124791276,0.0,0.0,2,2,1,0,all,9999,DRE,Before Drilling,1,2,,,-101714.28458535948,,,
Animon,vofe,21_22,7.0,55191.354603649124,669069.9495881635,12.122731076144419,7.786258501834251,0.8022152568906691,0.11918592640854371,3.5342573174194998,0.0,0.0,2,2,1,0,in_situ,9999,DRE,Before Drilling,1,2,,,-55191.354603649124,,,
Animon,vofe,21_22,7.0,101714.28458535948,1232971.469940848,12.121910653622383,7.351604812413863,0.9802586287293655,0.15757141211639283,3.7900472124791276,0.0,0.0,2,2,1,0,all,100,DRE,Before Drilling,1,2,,,-101714.28458535948,,,
Animon,vofe,21_22,7.0,55191.354603649124,669069.9495881635,12.122731076144419,7.786258501834251,0.8022152568906691,0.11918592640854371,3.5342573174194998,0.0,0.0,2,2,1,0,in_situ,100,DRE,Before Drilling,1,2,,,-55191.354603649124,,,
Animon,vofe,21_22,13.0,14060.9638920625,54975.79363239414,3.9098168556871347,1.1664730965251888,0.33516405254083087,0.05997832006295846,3.078026811664952,1.6894819243435002,1.3859999635858218,2,3,1,0,all,9999,DRE,After Drilling,1,,3,,,,,
Animon,vofe,21_22,13.0,11716.014958750004,42438.51609416993,3.6222654412433206,0.9620362501239339,0.3094986357833749,0.058265388186202444,3.0030322243199934,0.9415114443187834,1.4139233017189898,2,3,1,0,in_situ,9999,DRE,After Drilling,1,,3,,,,,
Animon,vofe,21_22,13.0,14060.9638920625,54975.79363239414,3.9098168556871347,1.1664730965251888,0.33516405254083087,0.05997832006295846,3.078026811664952,1.6894819243435002,1.3859999635858218,2,3,1,0,all,100,DRE,After Drilling,1,,3,,,,,
Animon,vofe,21_22,13.0,11716.014958750004,42438.51609416993,3.6222654412433206,0.9620362501239339,0.3094986357833749,0.058265388186202444,3.0030322243199934,0.9415114443187834,1.4139233017189898,2,3,1,0,in_situ,100,DRE,After Drilling,1,,3,,,,,
Animon,vofe,21_22,13.0,15345.61512033113,71440.4377076587,4.655430046137971,1.2648254704043314,0.3437123933008838,0.057571918693923425,3.046892182432757,0.0,0.0,2,3,1,0,all,9999,DRE,Before Drilling,1,,3,,,,,
Animon,vofe,21_22,13.0,12889.983099503615,56417.979523314265,4.376885453440733,1.0861489877771462,0.327729593310462,0.05472516847450166,2.963006872353126,0.0,0.0,2,3,1,0,in_situ,9999,DRE,Before Drilling,1,,3,,,,,
Animon,vofe,21_22,13.0,15345.61512033113,71440.4377076587,4.655430046137971,1.2648254704043314,0.3437123933008838,0.057571918693923425,3.046892182432757,0.0,0.0,2,3,1,0,all,100,DRE,Before Drilling,1,,3,,,,,
Animon,vofe,21_22,13.0,12889.983099503615,56417.979523314265,4.376885453440733,1.0861489877771462,0.327729593310462,0.05472516847450166,2.963006872353126,0.0,0.0,2,3,1,0,in_situ,100,DRE,Before Drilling,1,,3,,,,,
Animon,vofe,21_22,0.0,831152.0103622811,5006167.047384705,6.0231666229173,3.2636595799269124,0.669618462011354,0.08993102371831378,2.7047618645371627,0.5763199834559828,1.27092239119489,3,3,2,0,all,9999,DDDRE,After Drilling,,2,3,,,,,
Animon,vofe,21_22,0.0,709847.1597172832,4019348.6617682525,5.662273359477936,2.944947973690708,0.6451312629834612,0.07891158412060698,2.68019406074423,0.4995837184766558,1.3247578965431837,3,3,2,0,in_situ,9999,DDDRE,After Drilling,,2,3,,,,,
